Twitter ID#,Twitter User ID,Klout Score,Fol. Ct,Location,Tweet Creation Date,Tweet Text Contents 
362686627753508864,johnhrabe,62.7355327326,1409,California,Wed Jul 31 21:30:05 +0000 2013,RT @CACSdotorg: 2012 UC academic pay climbed 4% from previous yr to $4.34B; admin pay rose 7% to $725M http://t.co/0hnP9cWARq #highered
362681656974389248,Turegberk,23.5954717795,56,,Wed Jul 31 21:10:19 +0000 2013,RT @CACSdotorg: "Fraud rampant..." Taxpayers paying for 'ghost' clients at rehab centers http://t.co/DuOk0Hcw3M
362643038025162752,jimhoerricks,43.8378494691,129,Neenach Ca,Wed Jul 31 18:36:52 +0000 2013,RT @CACSdotorg: CA DOJ releases 2012 crime report—violent/property crimes up; rates lower than 20 yrs ago http://t.co/ZcvfqLcf4s
362634698503110657,SoquelCreek,58.4709193352,1530,Soquel California USA,Wed Jul 31 18:03:44 +0000 2013,RT @CACSdotorg: "Fraud rampant..." Taxpayers paying for 'ghost' clients at rehab centers http://t.co/DuOk0Hcw3M
364884985414557696,lhasey,42.6020915512,273,D.C.,Tue Aug 06 23:05:34 +0000 2013,Have a question government data can answer? #Nonprofit makes it easier to access mine &amp; customize data @CACSdotorg http://t.co/2ye0ji6eWD
364894579620708352,CACSdotorg,60.8057250471,1994,Stanford CA,Tue Aug 06 23:43:41 +0000 2013,RT @lhasey: Have a question government data can answer? #Nonprofit makes it easier to access mine &amp; customize data @CACSdotorg http://t.co…
365178442695720960,MillwallFCEO,38.0249324513,261,Los Angeles CA,Wed Aug 07 18:31:40 +0000 2013,RT @CACSdotorg: #BART's compensation costs are 58% of its operating budget vs 21% for the rest of the sector http://t.co/XfC9sIpV7w
365161502472286208,BZwriter,32.1841001483,931,California,Wed Aug 07 17:24:21 +0000 2013,RT: Labor Cost Concerns: Examining a Decade of BART Personnel Costs http://t.co/uC4QXjcxSr via @cacsdotorg
365161041593778176,MillwallFCEO,38.0249324513,261,Los Angeles CA,Wed Aug 07 17:22:31 +0000 2013,RT @CACSdotorg: AC Transit &amp; union reach contract settlement: 9.5% raise over 3 yrs increased health premiums http://t.co/FUaHDYCe7c
365159500388376577,GreatBigHands,42.4589978002,136,New York City,Wed Aug 07 17:16:23 +0000 2013,How are #nonprofits handling #bigdata? @CACSdotorg is using data visualizers. Find out more http://t.co/plTieJn3Md
365158379565486080,FwdObserverInc,31.6695266793,75,,Wed Aug 07 17:11:56 +0000 2013,RT @CACSdotorg: CA recovery failing its heartland; 3 San Joaquin Valley cities among 10 least-educated in the US http://t.co/3aCUE6cFrQ
365158322481004544,FwdObserverInc,31.6695266793,75,,Wed Aug 07 17:11:43 +0000 2013,RT @CACSdotorg: CA lobbyists brought in $86.3M total from Jan-Jun; see which firms top the profits list http://t.co/46H15QJDUr
365158155409297408,FwdObserverInc,31.6695266793,75,,Wed Aug 07 17:11:03 +0000 2013,RT @CACSdotorg: Curious about a California issue? Reply to suggest a dataset we should deliver. #opendata
